GrLivArea,TotalBsmtSF,LotArea,BedroomAbvGr,FullBath,TotRmsAbvGrd,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Neighborhood,GarageCars,GarageArea,PoolArea,Fireplaces,BldgType,HouseStyle,SalePrice
1499,874.0,10086,3,3,4,1,3,1906,1911,NAmes,0.0,0.0,0,2,TwnhsE,SLvl,146655
909,1226.0,9444,4,3,8,10,7,2008,2010,NridgHt,3.0,725.0,0,3,1Fam,SLvl,291742
1724,425.0,13636,2,3,5,6,2,1934,1963,OldTown,3.0,529.0,0,3,2fmCon,SLvl,231556
2543,1197.0,6281,2,1,4,9,2,1947,1975,OldTown,2.0,304.0,0,2,1Fam,SLvl,282502
992,758.0,11823,1,2,4,1,4,1972,1972,Somerst,3.0,541.0,0,2,TwnhsE,2Story,183408
1319,1092.0,13303,3,1,4,10,1,1971,2000,OldTown,0.0,0.0,0,1,TwnhsE,1.5Fin,233533
1708,925.0,12149,6,2,9,3,3,1944,1956,Edwards,1.0,227.0,0,0,TwnhsE,SLvl,197843
1473,,16974,6,2,7,7,9,1980,2007,OldTown,1.0,269.0,0,2,1Fam,1Story,248715
1008,,8413,2,1,3,4,7,1980,2000,Gilbert,,,0,1,1Fam,1.5Fin,201184
2060,1188.0,12871,4,1,8,9,7,1996,2010,OldTown,0.0,0.0,0,2,1Fam,2Story,271239
2660,916.0,9681,5,2,9,3,4,1995,2008,Mitchel,0.0,0.0,767,1,1Fam,SLvl,329458
1598,952.0,13700,1,2,2,5,2,1971,1983,Edwards,3.0,,0,0,2fmCon,2Story,213009
1047,944.0,9976,4,2,6,3,4,1918,1944,CollgCr,2.0,446.0,0,1,1Fam,SLvl,172965
725,746.0,8836,2,3,4,7,6,1962,1965,CollgCr,,0.0,0,1,1Fam,1Story,162613
1628,995.0,13918,3,2,5,5,3,1937,1943,NWAmes,0.0,,0,3,Duplex,1.5Fin,225144
2051,981.0,8525,1,1,4,9,1,1966,1987,NAmes,0.0,0.0,0,2,TwnhsE,1Story,247017
1737,,5761,2,1,3,7,8,1958,1967,NAmes,1.0,229.0,0,1,Twnhs,SLvl,232415
1498,1025.0,8449,6,1,10,2,5,1968,1974,Mitchel,1.0,202.0,0,2,1Fam,SFoyer,203240
1205,1239.0,11857,1,2,4,4,5,1912,1932,NAmes,1.0,253.0,0,1,1Fam,1.5Fin,175044
953,1277.0,14176,2,2,5,9,4,1946,1960,OldTown,3.0,580.0,704,3,1Fam,2Story,313172
1917,684.0,10333,6,3,10,2,6,2009,2010,CollgCr,3.0,769.0,0,3,1Fam,SLvl,248468
1956,1260.0,13954,6,3,7,10,3,1960,1963,OldTown,3.0,498.0,0,0,1Fam,1Story,273428
727,644.0,5925,5,1,8,9,9,1930,1952,Somerst,0.0,0.0,0,1,Twnhs,SFoyer,187783
2294,1176.0,8670,3,3,4,10,5,1979,2001,NWAmes,1.0,172.0,0,3,1Fam,SLvl,328867
1787,1185.0,9134,5,3,6,5,3,1995,2000,CollgCr,0.0,0.0,0,2,1Fam,2Story,231256
2199,426.0,9656,2,1,3,2,1,1921,1944,NAmes,0.0,0.0,0,1,1Fam,1Story,175089
828,1027.0,10252,4,2,8,4,6,1992,2010,NridgHt,2.0,489.0,0,1,1Fam,1.5Fin,217896
817,859.0,12072,5,3,6,7,2,1985,2010,OldTown,0.0,0.0,0,0,1Fam,SFoyer,168594
1425,772.0,8665,4,2,7,8,3,1942,1946,Gilbert,3.0,635.0,0,2,1Fam,SLvl,227003
1751,1405.0,10417,6,1,10,3,1,1966,1985,NridgHt,1.0,219.0,0,0,1Fam,SLvl,239694
2398,803.0,9864,2,1,6,1,9,1953,1964,Gilbert,1.0,169.0,537,1,1Fam,SLvl,281736
1853,758.0,7222,3,3,6,4,8,1909,1909,Somerst,0.0,0.0,0,0,1Fam,SLvl,196115
1378,1022.0,9658,4,1,8,2,2,1941,1968,NAmes,3.0,625.0,0,1,2fmCon,1Story,166792
986,1205.0,9569,2,1,5,8,8,1963,1970,OldTown,,575.0,0,1,1Fam,1.5Fin,223573
2115,957.0,9504,4,1,6,4,9,1920,1920,OldTown,3.0,644.0,0,0,1Fam,2Story,214392
1017,1349.0,10095,5,3,8,2,1,1979,1983,Gilbert,1.0,159.0,225,0,TwnhsE,SFoyer,199415
2314,1159.0,10227,2,3,6,6,5,1975,1996,OldTown,3.0,567.0,0,1,1Fam,SLvl,287675
1357,346.0,8703,5,3,8,6,8,1965,1970,Somerst,3.0,583.0,0,0,1Fam,SLvl,201439
2295,841.0,13818,1,1,3,10,2,1940,1968,Edwards,0.0,0.0,0,0,TwnhsE,1.5Fin,278142
1839,831.0,6491,2,2,3,4,4,1923,1943,Edwards,2.0,459.0,127,1,1Fam,1.5Fin,212372
1431,1143.0,7837,4,1,5,6,7,1934,1936,Gilbert,3.0,531.0,0,2,TwnhsE,1Story,243443
1240,212.0,18339,1,3,2,2,3,1955,1969,NAmes,0.0,,0,0,TwnhsE,1Story,149317
1329,1764.0,6886,5,2,9,10,5,1929,1933,Gilbert,0.0,0.0,0,0,1Fam,1Story,231781
1714,1159.0,5938,5,2,7,2,8,1956,1983,Sawyer,3.0,553.0,0,3,TwnhsE,SFoyer,213618
1538,1044.0,12203,4,3,7,10,3,1993,2010,OldTown,2.0,325.0,0,2,1Fam,1Story,277810
1203,1354.0,3768,1,2,4,4,4,1946,1959,OldTown,1.0,234.0,0,0,1Fam,SLvl,157428
1417,1703.0,9294,6,2,9,8,9,1934,1951,Edwards,2.0,427.0,0,1,TwnhsE,1Story,252362
1539,1261.0,16437,3,3,6,7,7,1918,1933,NridgHt,3.0,726.0,0,3,TwnhsE,SFoyer,283873
500,1284.0,5365,4,2,8,9,1,1907,1912,Gilbert,2.0,387.0,0,3,2fmCon,1Story,181249
1729,1039.0,4054,5,2,9,8,4,1925,1949,NAmes,0.0,0.0,0,3,1Fam,1Story,226496
1010,957.0,5502,2,3,4,5,4,2003,2010,Edwards,0.0,0.0,0,0,1Fam,SLvl,183343
923,857.0,12695,1,2,4,2,9,1970,1983,Gilbert,2.0,362.0,0,1,1Fam,SLvl,184200
656,,13374,6,2,7,5,6,1929,1955,CollgCr,1.0,205.0,0,3,1Fam,SLvl,158248
603,793.0,8462,3,2,7,8,9,1906,1929,NAmes,2.0,423.0,0,2,Twnhs,1Story,179460
822,594.0,12049,2,2,4,10,6,1966,1973,NAmes,3.0,764.0,0,3,1Fam,SLvl,214890
1145,977.0,14170,1,3,3,9,6,1964,1992,Mitchel,1.0,144.0,0,3,1Fam,1.5Fin,222469
2476,494.0,15362,6,1,10,9,5,1935,1941,NridgHt,2.0,413.0,0,2,1Fam,2Story,320802
1237,1057.0,9260,4,1,5,1,5,1924,1931,Somerst,2.0,377.0,0,3,1Fam,2Story,186115
1588,989.0,3095,6,2,7,9,2,1936,1948,NAmes,1.0,202.0,0,3,2fmCon,SLvl,242374
1700,1044.0,7537,4,3,7,7,8,1900,1905,Mitchel,2.0,406.0,0,2,1Fam,SFoyer,234201
1565,843.0,8719,1,3,5,9,8,1914,1931,OldTown,3.0,582.0,0,0,Duplex,SLvl,231836
1461,1923.0,9223,6,2,7,8,1,1936,1937,Gilbert,,0.0,0,2,1Fam,SLvl,243668
902,1408.0,9436,3,1,7,1,8,1912,1919,NWAmes,3.0,481.0,0,0,1Fam,1Story,164446
2225,626.0,13356,6,2,8,8,5,2003,2010,NWAmes,2.0,384.0,0,0,Duplex,SFoyer,278023
2403,1069.0,13823,1,3,3,8,2,1907,1907,NridgHt,0.0,0.0,0,0,1Fam,SLvl,278643
658,817.0,9484,2,3,4,3,2,1904,1925,OldTown,1.0,196.0,0,2,1Fam,1.5Fin,105820
987,695.0,13295,2,1,6,1,6,1959,1987,NAmes,3.0,577.0,0,2,Duplex,2Story,162842
1360,597.0,11072,6,3,9,8,9,1972,1977,OldTown,1.0,126.0,0,0,1Fam,1.5Fin,202517
1017,1129.0,10193,6,3,9,3,1,1900,1915,Mitchel,0.0,0.0,0,2,1Fam,1.5Fin,137254
1752,795.0,12719,4,3,5,3,6,1935,1961,CollgCr,2.0,404.0,0,0,TwnhsE,1.5Fin,203939
1135,1290.0,10216,1,1,5,1,9,1934,1953,Somerst,0.0,0.0,0,2,Twnhs,SFoyer,176635
2582,1298.0,16173,4,3,7,5,8,1965,1976,Sawyer,0.0,0.0,0,1,1Fam,SFoyer,290061
2095,1412.0,5684,3,2,7,10,6,1962,1972,Somerst,1.0,193.0,0,2,2fmCon,SFoyer,308925
1606,744.0,8454,2,1,5,7,3,2003,2010,NAmes,3.0,481.0,0,2,1Fam,2Story,241765
2013,1142.0,9620,5,2,7,10,8,1922,1948,OldTown,0.0,0.0,0,2,1Fam,1Story,266709
2052,1189.0,11318,5,2,7,9,9,1908,1936,Somerst,2.0,343.0,0,0,1Fam,SLvl,290040
1218,857.0,13803,1,1,2,7,1,1933,1942,Gilbert,0.0,0.0,0,0,Twnhs,SLvl,193958
1091,768.0,9926,1,2,3,9,9,1945,1947,Somerst,1.0,178.0,0,1,1Fam,1Story,223833
1539,1482.0,5733,5,1,8,8,6,1977,1989,Mitchel,3.0,518.0,0,1,1Fam,SLvl,278787
1930,1068.0,12527,1,2,2,2,6,1903,1929,Somerst,2.0,399.0,0,3,1Fam,1.5Fin,231856
1569,1190.0,12264,2,1,3,1,4,1929,1931,Gilbert,1.0,151.0,0,1,TwnhsE,2Story,180270
711,753.0,4174,3,3,5,7,1,1994,2008,Sawyer,0.0,0.0,342,0,1Fam,SLvl,181438
1098,634.0,9988,3,3,7,7,8,2001,2010,Sawyer,0.0,0.0,0,1,1Fam,2Story,202703
1463,829.0,5229,4,2,6,8,2,1974,2002,Gilbert,,714.0,0,1,TwnhsE,1Story,238202
1462,962.0,8006,2,3,4,5,1,1998,2010,OldTown,1.0,232.0,0,2,2fmCon,SLvl,213924
2486,680.0,7291,1,1,2,3,2,1971,1987,CollgCr,1.0,240.0,0,1,1Fam,2Story,221842
807,997.0,12427,1,2,3,8,1,1902,1904,NAmes,,559.0,0,3,1Fam,1.5Fin,204631
1752,493.0,10350,4,3,7,6,1,1913,1932,NridgHt,2.0,338.0,0,2,TwnhsE,1.5Fin,243330
2244,663.0,6143,4,3,5,3,9,1959,1969,NWAmes,1.0,224.0,0,0,TwnhsE,1Story,221574
2635,1201.0,12640,1,2,3,1,1,1976,2002,OldTown,3.0,553.0,0,3,1Fam,SFoyer,258715
1297,1181.0,5698,1,3,5,3,4,1944,1964,Somerst,1.0,200.0,0,0,1Fam,SLvl,195372
1745,882.0,10990,2,3,5,5,6,1995,2010,NWAmes,3.0,667.0,0,3,1Fam,1.5Fin,277824
1784,694.0,7557,4,2,8,3,7,1933,1954,NWAmes,0.0,,0,2,1Fam,1.5Fin,188966
1597,691.0,8902,2,3,5,1,2,1944,1954,Gilbert,0.0,,0,3,Duplex,1Story,174761
1450,888.0,11512,6,3,10,5,6,1960,1989,Edwards,1.0,206.0,0,3,1Fam,1.5Fin,219386
1717,1193.0,11564,1,3,3,10,7,1982,2009,CollgCr,,166.0,0,1,Duplex,SLvl,289389
500,1278.0,14010,5,3,8,7,2,2001,2010,CollgCr,0.0,0.0,0,0,2fmCon,1Story,183389
1841,,9753,5,2,6,7,2,1915,1935,Edwards,2.0,424.0,0,2,Duplex,2Story,225163
1563,653.0,10919,6,1,7,9,7,1965,1967,NAmes,3.0,568.0,0,3,TwnhsE,1Story,262088
1388,1080.0,8686,1,1,5,10,1,1939,1960,Edwards,2.0,372.0,0,0,1Fam,SLvl,213077
2523,752.0,10545,4,3,8,10,8,1916,1921,NridgHt,2.0,375.0,0,0,1Fam,SLvl,331302
1162,844.0,11318,5,3,9,3,3,1933,1946,NridgHt,2.0,402.0,0,1,2fmCon,2Story,183592
1298,1397.0,9705,4,1,7,7,6,2005,2010,Gilbert,0.0,0.0,0,0,TwnhsE,1Story,228649
2495,1248.0,4588,5,3,6,1,9,1915,1932,Somerst,1.0,236.0,0,2,1Fam,SLvl,239796
1083,1047.0,10994,4,1,6,4,6,2001,2010,NWAmes,,462.0,0,1,TwnhsE,SLvl,200507
1224,618.0,11093,5,2,8,4,9,1959,1962,CollgCr,0.0,0.0,306,3,1Fam,2Story,204873
1426,1063.0,7959,4,2,8,5,7,1965,1987,CollgCr,3.0,563.0,0,2,1Fam,SFoyer,244388
1920,1318.0,6146,6,2,7,7,9,1965,1979,Edwards,1.0,199.0,582,2,1Fam,1Story,329719
1603,887.0,14427,2,2,6,7,2,1989,1999,Edwards,3.0,613.0,0,2,Twnhs,SLvl,263701
853,1405.0,11474,4,2,6,4,8,1912,1937,Edwards,2.0,381.0,0,1,1Fam,1.5Fin,180290
1233,1387.0,9312,2,2,4,7,8,1955,1957,NAmes,1.0,229.0,669,0,1Fam,2Story,303359
1196,1499.0,6588,2,1,3,3,2,2010,2010,Edwards,2.0,314.0,0,2,Twnhs,SFoyer,196219
1461,1091.0,7534,1,3,4,6,4,1930,1945,Somerst,1.0,178.0,0,0,Duplex,SFoyer,210167
1712,1176.0,13907,6,1,8,2,7,1933,1937,NWAmes,2.0,446.0,0,0,TwnhsE,2Story,211288
1709,1424.0,10412,2,2,4,10,4,1938,1958,OldTown,3.0,629.0,0,2,1Fam,SFoyer,289603
611,1134.0,8348,3,3,5,9,4,1966,1994,OldTown,3.0,538.0,0,0,1Fam,SLvl,203317
2031,849.0,11529,2,3,4,5,6,1907,1916,Somerst,2.0,424.0,0,1,1Fam,SFoyer,256548
1626,865.0,7556,4,2,8,6,6,1986,2004,Mitchel,1.0,176.0,0,1,Duplex,1Story,227279
2192,1071.0,14502,2,2,6,4,3,1977,2001,NridgHt,3.0,572.0,0,3,2fmCon,1.5Fin,292435
1722,612.0,14058,4,2,7,10,9,1954,1957,OldTown,1.0,231.0,0,0,2fmCon,SLvl,239540
2050,,8600,4,2,5,7,2,1926,1954,NAmes,1.0,227.0,0,0,Duplex,2Story,243377
1733,1328.0,8113,3,2,4,9,6,1992,2010,Mitchel,3.0,625.0,0,3,1Fam,1.5Fin,293956
2173,342.0,2145,2,2,3,7,7,2002,2010,Sawyer,0.0,0.0,0,1,2fmCon,SLvl,233455
1761,1460.0,5555,2,3,4,1,9,1952,1962,NAmes,0.0,0.0,0,3,1Fam,1.5Fin,202061
1451,1336.0,5981,5,2,9,1,3,1938,1939,CollgCr,1.0,202.0,415,3,1Fam,SFoyer,233965
2636,862.0,10405,5,2,9,9,3,1964,1973,OldTown,3.0,730.0,0,3,1Fam,2Story,320947
1944,1163.0,9021,1,3,4,9,7,1916,1944,NridgHt,0.0,0.0,0,0,Duplex,2Story,283707
1786,1000.0,5963,4,1,5,4,4,2004,2010,Edwards,2.0,347.0,0,0,TwnhsE,1Story,219053
861,1368.0,9156,3,2,7,9,8,1929,1953,Edwards,1.0,233.0,0,0,1Fam,SFoyer,196489
855,1294.0,11516,5,3,8,3,7,1952,1971,NWAmes,0.0,0.0,0,0,1Fam,1Story,165959
1646,579.0,11583,2,3,3,7,5,1912,1927,NridgHt,3.0,593.0,0,2,1Fam,1Story,274686
1572,1176.0,4300,1,1,3,6,7,1920,1938,CollgCr,3.0,738.0,0,3,TwnhsE,SFoyer,243472
1192,938.0,9615,3,2,7,8,3,1918,1940,Gilbert,1.0,177.0,0,3,2fmCon,SLvl,211681
1570,1024.0,5849,6,2,10,9,2,1952,1975,OldTown,3.0,464.0,0,0,Twnhs,1Story,231657
2294,781.0,12705,2,2,3,5,6,1918,1928,NWAmes,2.0,447.0,0,1,TwnhsE,1.5Fin,264117
1847,1524.0,12352,2,3,4,1,2,1956,1969,NridgHt,2.0,477.0,0,2,1Fam,SLvl,247138
929,1312.0,7305,6,2,8,3,3,1924,1925,Sawyer,0.0,0.0,0,2,1Fam,SFoyer,140706
1444,,7701,4,2,8,10,6,1985,2007,NAmes,3.0,522.0,0,1,1Fam,2Story,250910
1097,599.0,8616,4,2,5,8,5,1930,1957,CollgCr,2.0,411.0,759,0,1Fam,SLvl,271984
1306,884.0,3241,5,2,8,6,8,1980,1984,NridgHt,1.0,225.0,0,2,1Fam,1Story,238173
1293,1130.0,11007,5,1,9,8,9,1954,1980,OldTown,3.0,627.0,0,2,1Fam,1.5Fin,242459
1261,1072.0,9181,2,1,4,9,3,1922,1926,NAmes,0.0,0.0,0,3,2fmCon,SFoyer,211383
872,1375.0,12910,2,1,5,4,3,1931,1949,NridgHt,1.0,187.0,404,3,1Fam,2Story,238969
1436,1236.0,6704,5,2,6,1,3,1961,1981,Somerst,1.0,197.0,0,0,1Fam,1.5Fin,179427
1219,1290.0,8142,6,2,8,1,6,1973,1984,NWAmes,1.0,207.0,0,0,1Fam,2Story,191221
500,1098.0,5480,5,3,8,10,1,1909,1926,NridgHt,2.0,449.0,0,3,1Fam,SFoyer,213937
2526,583.0,6987,2,3,6,4,7,1999,2002,Somerst,1.0,,0,3,Duplex,SLvl,277516
2044,941.0,6454,3,3,5,7,1,1971,1992,NAmes,2.0,455.0,0,3,Duplex,1Story,255749
1311,1318.0,12987,2,2,3,2,5,1953,1969,NAmes,1.0,248.0,0,1,1Fam,SFoyer,186861
1509,984.0,7905,3,1,5,3,8,1951,1960,NAmes,2.0,368.0,0,2,2fmCon,1.5Fin,198841
914,1150.0,10372,3,1,7,1,4,1919,1938,Gilbert,3.0,585.0,0,0,1Fam,SLvl,166407
2347,904.0,8857,2,1,3,5,5,1931,1936,NridgHt,2.0,458.0,0,0,1Fam,2Story,282583
2448,691.0,6191,1,2,5,1,4,1913,1937,Somerst,2.0,515.0,0,1,1Fam,SLvl,233358
1578,962.0,9495,5,1,8,8,4,1949,1962,Edwards,3.0,657.0,0,3,Twnhs,SLvl,249693
2011,1092.0,11797,4,3,6,1,8,1927,1937,Sawyer,1.0,176.0,0,2,1Fam,1.5Fin,220125
1587,803.0,6376,2,3,6,1,2,2009,2010,Sawyer,3.0,617.0,0,3,1Fam,1Story,204536
831,929.0,12427,3,1,6,2,1,1952,1980,Somerst,1.0,228.0,0,0,TwnhsE,SLvl,142911
1294,718.0,7450,2,3,3,2,3,1923,1940,Edwards,2.0,351.0,0,1,1Fam,SLvl,161293
1565,1335.0,8551,5,1,6,6,9,1978,2004,CollgCr,1.0,167.0,0,2,1Fam,1Story,249520
1272,911.0,11592,6,1,9,7,4,1921,1943,Gilbert,2.0,379.0,0,2,TwnhsE,1Story,230175
1390,1435.0,8009,3,3,6,5,5,1929,1950,Somerst,1.0,219.0,0,2,1Fam,2Story,214787
1454,1458.0,10112,4,3,5,1,2,1962,1979,OldTown,2.0,317.0,0,2,2fmCon,2Story,186075
1459,975.0,9055,4,3,8,1,4,1903,1926,NWAmes,2.0,,0,1,Duplex,1Story,174953
1526,697.0,10388,4,3,7,3,2,1976,1998,NWAmes,0.0,0.0,0,0,Duplex,SFoyer,183573
969,374.0,2857,6,1,10,2,2,1958,1968,Mitchel,1.0,232.0,0,2,Twnhs,1Story,124495
1141,558.0,4510,1,3,2,5,4,1986,2006,Sawyer,1.0,208.0,0,2,TwnhsE,2Story,155523
857,587.0,11847,3,3,7,10,6,1907,1918,NAmes,0.0,0.0,0,0,2fmCon,1.5Fin,169896
1988,1413.0,13111,6,2,10,6,7,1981,1985,OldTown,2.0,460.0,0,3,TwnhsE,1.5Fin,268083
500,1034.0,7268,3,3,6,7,3,1911,1933,CollgCr,2.0,495.0,0,2,TwnhsE,SLvl,153168
2076,,9267,6,3,10,4,3,1930,1938,Edwards,0.0,0.0,0,2,Twnhs,1.5Fin,205985
2193,333.0,10884,6,1,10,7,6,1977,2003,CollgCr,0.0,0.0,0,3,Duplex,2Story,272100
1348,640.0,12079,1,1,5,8,3,1933,1957,Sawyer,3.0,608.0,0,0,1Fam,1.5Fin,225051
500,1266.0,3916,3,2,4,1,2,1981,1989,NAmes,2.0,454.0,0,0,Duplex,SFoyer,118393
1319,1086.0,7341,6,3,7,6,8,1997,2010,Edwards,3.0,752.0,0,2,1Fam,1Story,232424
1467,955.0,9002,1,3,3,8,5,1974,1983,Somerst,1.0,219.0,0,0,1Fam,1Story,236936
994,1169.0,12109,2,3,3,5,1,2004,2010,Mitchel,3.0,522.0,0,3,1Fam,2Story,224692
1242,1490.0,17495,5,3,6,4,3,1975,1993,Edwards,0.0,0.0,0,1,TwnhsE,SLvl,204092
2265,933.0,9315,6,3,8,2,8,1948,1948,Sawyer,,0.0,0,3,1Fam,1Story,212240
1832,1020.0,5779,4,3,6,6,4,1978,1984,CollgCr,0.0,0.0,698,3,Duplex,1.5Fin,300655
1037,1057.0,11206,1,2,4,6,7,1956,1959,NWAmes,0.0,0.0,0,1,1Fam,SFoyer,201104
701,1717.0,13962,1,3,4,1,2,1994,1994,CollgCr,3.0,325.0,0,3,1Fam,SLvl,199292
1336,370.0,10324,6,3,7,9,7,1992,2006,CollgCr,3.0,493.0,0,2,1Fam,SLvl,241202
1393,1204.0,7280,1,3,5,6,5,1925,1932,CollgCr,3.0,560.0,0,2,2fmCon,SLvl,223519
1748,965.0,12873,2,2,5,3,5,1917,1928,Mitchel,0.0,0.0,0,0,TwnhsE,1Story,186226
1232,1170.0,11990,1,3,4,4,6,1995,2010,Sawyer,0.0,0.0,0,0,1Fam,SLvl,188832
1755,802.0,6921,5,2,6,4,9,1985,2006,OldTown,2.0,523.0,0,3,1Fam,2Story,237054
2467,985.0,11144,5,1,9,3,6,1937,1954,Mitchel,2.0,399.0,0,2,2fmCon,1.5Fin,254224
1907,1213.0,12991,4,3,6,10,8,1980,1994,Mitchel,0.0,0.0,0,2,1Fam,SFoyer,304826
1475,1933.0,13545,2,2,4,3,7,1986,2002,Sawyer,2.0,440.0,0,1,1Fam,1.5Fin,250140
1408,1242.0,9800,5,1,6,3,9,1987,2010,Gilbert,1.0,234.0,0,0,1Fam,2Story,210624
1321,745.0,8925,6,2,7,4,4,1949,1962,Mitchel,1.0,267.0,0,2,2fmCon,2Story,183235
2090,872.0,13681,3,2,7,7,2,1907,1920,Edwards,0.0,0.0,0,3,1Fam,1.5Fin,224518
1186,863.0,6369,3,1,4,4,7,1940,1957,Gilbert,3.0,639.0,0,2,1Fam,1Story,198028
1522,461.0,11315,3,3,4,9,6,1905,1924,Sawyer,1.0,154.0,0,0,Twnhs,2Story,212088
1525,900.0,5889,6,3,7,1,1,1968,1985,NridgHt,1.0,169.0,0,3,Duplex,SLvl,204523
1249,1219.0,13196,1,2,5,8,9,1943,1958,NridgHt,3.0,563.0,0,0,1Fam,SFoyer,288816
813,617.0,9225,6,1,7,7,9,1963,1963,OldTown,2.0,,0,2,1Fam,SFoyer,172142
1661,1314.0,13805,1,3,4,2,2,1928,1950,Somerst,3.0,608.0,0,2,1Fam,2Story,230146
1469,1146.0,11474,3,2,7,8,3,1927,1953,Mitchel,2.0,311.0,0,2,1Fam,SLvl,234814
1750,779.0,6330,4,1,7,1,5,1910,1920,CollgCr,2.0,300.0,0,0,1Fam,1.5Fin,166599
1233,957.0,14273,4,2,8,9,5,1964,1978,Somerst,3.0,623.0,0,3,1Fam,SFoyer,271119
2110,1479.0,14653,1,1,4,9,1,2006,2010,Somerst,2.0,,0,2,1Fam,SLvl,322192
1061,1220.0,12646,3,3,7,2,8,1918,1925,Gilbert,1.0,193.0,0,2,TwnhsE,SLvl,182292
2356,1002.0,7715,6,3,8,7,8,1908,1929,Edwards,0.0,0.0,0,2,TwnhsE,1Story,262823
626,928.0,9081,4,2,5,10,4,1926,1945,NridgHt,2.0,474.0,0,1,1Fam,2Story,205929
1717,1022.0,10436,1,3,2,3,7,1933,1962,NWAmes,1.0,209.0,0,1,2fmCon,SLvl,221231
1737,846.0,7888,6,3,10,7,3,1943,1948,Edwards,3.0,515.0,0,3,1Fam,1.5Fin,257010
1102,368.0,15077,3,1,6,10,6,1967,1969,NridgHt,2.0,514.0,554,0,2fmCon,SFoyer,308406
1712,1612.0,10432,2,3,4,9,9,1999,2010,NWAmes,1.0,194.0,0,2,1Fam,1Story,293603
2139,1046.0,2000,3,1,6,4,1,1981,2004,Mitchel,2.0,402.0,0,2,TwnhsE,1.5Fin,235892
500,1119.0,11018,3,1,4,1,5,1914,1939,NAmes,3.0,541.0,0,0,TwnhsE,SFoyer,122952
1751,982.0,8955,6,2,7,2,4,1950,1979,Sawyer,0.0,0.0,0,0,1Fam,2Story,182440
500,779.0,9775,6,1,9,1,8,1912,1924,NAmes,2.0,340.0,0,3,Duplex,1.5Fin,115219
1017,944.0,8894,5,3,9,5,1,1982,1994,Edwards,0.0,0.0,0,0,2fmCon,SFoyer,160457
2314,520.0,12421,5,1,9,5,9,1948,1949,OldTown,2.0,219.0,0,2,1Fam,1Story,235245
1209,1683.0,13359,6,1,9,7,6,1969,1973,Edwards,2.0,390.0,0,3,2fmCon,SFoyer,242728
913,629.0,10849,6,2,7,9,4,1955,1971,Gilbert,3.0,699.0,0,1,2fmCon,SLvl,219248
1401,690.0,8982,2,3,5,9,9,1975,1980,NWAmes,2.0,340.0,0,3,TwnhsE,1Story,254056
2533,867.0,9875,2,3,3,3,5,1950,1951,NWAmes,1.0,276.0,0,3,Duplex,1.5Fin,243347
